img1_path,img2_path,label,pose_bin1,pose_bin2
data/processed/aligned/179-02.jpg,data/processed/aligned/179-07.jpg,1,half-profile,half-profile
data/processed/aligned/138-05.jpg,data/processed/aligned/138-11.jpg,1,frontal,frontal
data/processed/aligned/176-05.jpg,data/processed/aligned/176-09.jpg,1,frontal,half-profile
data/processed/aligned/11-05.jpg,data/processed/aligned/27-08.jpg,0,frontal,half-profile
data/processed/aligned/42-06.jpg,data/processed/aligned/191-12.jpg,0,frontal,frontal
data/processed/aligned/145-13.jpg,data/processed/aligned/148-09.jpg,0,frontal,half-profile
data/processed/aligned/140-01.jpg,data/processed/aligned/140-08.jpg,1,profile,half-profile
data/processed/aligned/113-03.jpg,data/processed/aligned/50-01.jpg,0,half-profile,profile
data/processed/aligned/56-03.jpg,data/processed/aligned/56-09.jpg,1,half-profile,half-profile
data/processed/aligned/71-11.jpg,data/processed/aligned/51-10.jpg,0,frontal,half-profile
data/processed/aligned/156-09.jpg,data/processed/aligned/156-14.jpg,1,half-profile,frontal
data/processed/aligned/135-10.jpg,data/processed/aligned/1-01.jpg,0,profile,profile
data/processed/aligned/169-10.jpg,data/processed/aligned/22-09.jpg,0,profile,profile
data/processed/aligned/88-10.jpg,data/processed/aligned/18-01.jpg,0,profile,profile
data/processed/aligned/89-01.jpg,data/processed/aligned/89-06.jpg,1,profile,frontal
data/processed/aligned/66-06.jpg,data/processed/aligned/66-11.jpg,1,frontal,frontal
data/processed/aligned/90-02.jpg,data/processed/aligned/90-08.jpg,1,half-profile,half-profile
data/processed/aligned/172-04.jpg,data/processed/aligned/172-09.jpg,1,half-profile,half-profile
data/processed/aligned/76-10.jpg,data/processed/aligned/27-10.jpg,0,profile,profile
data/processed/aligned/172-02.jpg,data/processed/aligned/95-04.jpg,0,half-profile,half-profile
data/processed/aligned/183-03.jpg,data/processed/aligned/183-12.jpg,1,half-profile,frontal
data/processed/aligned/130-02.jpg,data/processed/aligned/130-14.jpg,1,half-profile,frontal
data/processed/aligned/185-10.jpg,data/processed/aligned/180-01.jpg,0,profile,profile
data/processed/aligned/44-11.jpg,data/processed/aligned/189-10.jpg,0,frontal,profile
data/processed/aligned/19-07.jpg,data/processed/aligned/19-14.jpg,1,half-profile,frontal
data/processed/aligned/134-06.jpg,data/processed/aligned/134-10.jpg,1,frontal,profile
data/processed/aligned/99-10.jpg,data/processed/aligned/151-01.jpg,0,profile,profile
data/processed/aligned/176-14.jpg,data/processed/aligned/87-04.jpg,0,frontal,half-profile
data/processed/aligned/180-03.jpg,data/processed/aligned/52-01.jpg,0,half-profile,profile
data/processed/aligned/40-01.jpg,data/processed/aligned/130-01.jpg,0,profile,profile
